"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 30 23:52:57 NOVT 2024","Sat Mar 30 23:53:03 NOVT 2024","5333","","test_check","TestBankChecks","","","test_successful_open_account_potter[chrome_mob]","Проверка открытия счета"
"failed","Sat Mar 30 23:51:30 NOVT 2024","Sat Mar 30 23:51:49 NOVT 2024","19375","","test_check","TestBankChecks","","","test_successful_withdrawl_potter[chrome_mob]","Проверка списания средств"
"passed","Sat Mar 30 23:52:39 NOVT 2024","Sat Mar 30 23:52:50 NOVT 2024","10638","","test_check","TestBankChecks","","","test_successful_add_customer[chrome_mob]","Проверка добавления клиента"
"passed","Sat Mar 30 23:53:11 NOVT 2024","Sat Mar 30 23:53:16 NOVT 2024","5652","","test_check","TestBankChecks","","","test_list_customer[chrome_mob]","Проверка формирования списка клиентов"
"passed","Sat Mar 30 23:50:47 NOVT 2024","Sat Mar 30 23:50:54 NOVT 2024","6152","","test_check","TestBankChecks","","","test_login_and_back_home_successful_potter[chrome_mob]","Проверка входа Гарри Поттер и возврат на главную страницу"
"passed","Sat Mar 30 23:51:14 NOVT 2024","Sat Mar 30 23:51:22 NOVT 2024","7686","","test_check","TestBankChecks","","","test_successful_deposit_potter[chrome_mob]","Проверка депонирования средств"
"passed","Sat Mar 30 23:52:08 NOVT 2024","Sat Mar 30 23:52:21 NOVT 2024","12214","","test_check","TestBankChecks","","","test_successful_transaction_potter[chrome_mob]","Проверка отчета об операциях"
"passed","Sat Mar 30 23:50:22 NOVT 2024","Sat Mar 30 23:50:27 NOVT 2024","5075","","test_check","TestBankChecks","","","test_login_successful_bank[chrome_mob]","Проверка входа"
"passed","Sat Mar 30 23:52:28 NOVT 2024","Sat Mar 30 23:52:32 NOVT 2024","3991","","test_check","TestBankChecks","","","test_login_successful_manager[chrome_mob]","Проверка входа работника банка"
"passed","Sat Mar 30 23:51:01 NOVT 2024","Sat Mar 30 23:51:07 NOVT 2024","6150","","test_check","TestBankChecks","","","test_login_successful_weasly[chrome_mob]","Проверка входа Рон Уизли и логаут"
"passed","Sat Mar 30 23:51:53 NOVT 2024","Sat Mar 30 23:52:01 NOVT 2024","7952","","test_check","TestBankChecks","","","test_successful_fail_withdrawl_potter[chrome_mob]","Проверка списания средств"
"passed","Sat Mar 30 23:50:35 NOVT 2024","Sat Mar 30 23:50:40 NOVT 2024","5277","","test_check","TestBankChecks","","","test_login_successful_potter[chrome_mob]","Проверка входа Гарри Поттер"
